yorum,duygu
"en ufak kırıntıları,taşı,toprağı hiçbir şeyi çekmiyor. geri iade de edemedim. bunu alacağıma keşke uzatma kablosu ile basit bir ev elektrik süpürgesi alsaydım. çok daha memnun kalırdım. alan zarar eder.",negative
fiyat kalite uyumu başarılı. düşünmeden alınır.,positive
kısa sürede teslimat kırılmaması için özenilmesi mükemmmel hayran kaldm,positive
bana soylenen  tek kelimeyle cok iyi bir urun,positive
ürün fiyatına göre bir etkiye sahip.çalışmak için ne kadar vakit ayırırsanız o kadar etkili oluyor.eğer az çalışırsanız çok bir faydasını görmeyeceksiniz.ama ürünle çalışmak için vakit ayırırsanız karın kaslarınızdaki değişikliği hissedebilirsiniz.,negative
arkadaşlar ürünü herkes gibi almadan önce inceledim ve buna göre karar verip aldım. hemen 2 tane halıda uygulama yaptık sonuç iyi fakat cosla halı sampuanı daha iyi iş görüyor eşim bu şekilde kullanıyor. hb ya teşekkürlerimi sunuyorum.,positive
kedilerim bu ürüne bayılıyor. güzel ürün.,positive
ürünün çekim kalitesi berbat telefonu pantolonun cebine koyunca bile telefon kesiliyor telefonu sürekli elinizde tutmanız gerekiyor  bu fiyata değmez.,negative
Çok çok fazla çökmüş burada,positive
Tavsiye etmiyorum. Senaryo çok havada kalmış. Sonuda kötü yapılmış. Seyrettikten sonra hemen unutmak isteyeceğiniz bir film. 4/10,negative
özellikle ışığı çok yetersiz ve 4 tane değil 2 tane geliyor bana siyah geldi ancak ışığı dediğim gibi yetersiz,negative
başarısız gücsüz pek bi işe yaramaz,negative
aldığımdan beri kullanıyorum. basit plastik gibi görünse de kesinlikle sağlam. paranızın karşılığını alırsınız. tavsiye ederim. uçus süresi 10 dakika kadar ama o boyuttaki ouyuncak için çok normal. teşekkürler h.b...,positive
bu filme nabızın matinesini kaçırdığım için gitmek zorunda kaldım ve 2. da vinci vakasını yaşadım çok sıkıcıydı yani anlaşılırlığı geçtim bi heyecan yok bu tür filmler çok fazla galiba bu benim son polisiye filmim olacak:D,negative
yaklaşık 1 yıldır kullanıyorum toz deterjanlara göre gayet güzel bir ürün kokusu da öyle hepsi buradan gayet uygun bir fiyata aldığımı düşünüyorum,positive
kesinlikle izlenmek için vakit harcanacak bir film değil,negative
Beklediğimi bulamadım birkaçının oyunculuğu iyi ama diğerleri için aynı şeyi söyleyemeceğim.vakti bol arkadaşlarıma tavsiye ederim. Saygılarımla..,negative
"Olumsuz yönleri: çok basit, yazık oldu paraya",negative
hepsi buradanın en güzel yanı hızlı alışveriş olması. teşekkürler :),positive
bir tüp boşalttım hiç faydası olmadı,negative
yorumlara bakarak aldim ama alir almaz is yerinde lazim olan kullansin diye biraktim,negative
"tabi bu seviyeye getirene kadar hata yaparsanız , veya şablona dikkatli bakmazsanız söküp tekrar takmak zorunda kalacaksınız ve o anlarda internetten aldığınıza pişman olabilirsiniz. ancak dikkatli ve 2-3 kişi yaparsanız sizin için daha hızlı ve rahat olur.",positive
"gayet guzel bir urun, hizli ulasti",positive
"evet, bu ürünü tavsiye ederim.",positive
"6 aydır kullanıyorum, çok memnunum. hiçbir kusuru yok, hem maçlar hem de filmler için, sinemaya gitme ihtiyacı hissetmiyorum. gün ışığında bile çok net görüntü veriyor.",positive
"ürün kesi̇nli̇kle hakkini veri̇yor.ortalama 30 daki̇kada paçalardan ter damlamaya başliyor.ayrica ben 1,85 boy 90 ki̇loyum.xl aldim bi̇raz küçük geldi̇.buradan yola çikabi̇li̇rsi̇ni̇z.teşekkürler hepsi̇ burada...",positive
Bu filmi sinemada izlemenizi tavsiye etmem. Eğer filmi sinemada izlerseniz;1)Geçici kulak rahatsızlığı yaşanabilir.2)Verdiğiniz paraya yazık olur.,negative
benim bu seneki oscar yarışında en iyi yönetmen ve eniyi erkek oyuncu dallarında favorimdir bu film.gerçektn mükemmel.,negative
ya senarist konuyu bağlayamamış ya da zaman yetmemiş... Sanki filmin yarısı çekilmemiş ya da ortasından bir yerden büyük bir bölümünü kesmişler gibi...,negative
zaman kaybı çok kötü espiriler konuşmalar anlaşılmıyor... sonuç çok kötü bir film,negative
cok iyibir urun firma cok ilgili bastan telefonla arayip   ilgileniyorlar.,positive
korku adına hiçbirşey taşımayan bir film tek atın gemiden atlayıp parçalandığı yer güzel gerisi beş para etmez,negative
filmi beğenmedim ben. yani mide bulandırıyor pek germiyor.,negative
Ürün parasına göre iş görür lakin servis kurulum için 30 lira para istedi. Bu ne biçim iş anlamadım.,negative
"buradaki yorumları okuduğumda ilgimi çekti henüz deneme fırsatım olmamıştı, geçen yıl arkadaşımın passatında denedim karda buzda gayet iyi yol tutuşu. bolunun kış şartlarını herkes bilir. burda kendi aracıma da petlas aldım. kartalkaya kayak merkezine 2100 metre rakıma tık demeden çıkıyor. çok memnunum. markaya para ödemeyin. hem güvenli seyahat edin, hem ülkeye katkı yapın.",positive
gayet ergonomik ve güçlü. kudretine hayran kaldım. yön değiştirme ve hız ayarı sayesinde çok daha seri vidalamalar yapıyorum. yani sadece matkap değil. :),positive
gerçekten harika bir ürün. kargo süresi gerçekten harika. anında elime geçti. ayaklarım resmen pamuk gibi oldu. bence piyasanın en iyisi.,positive
hiç heycanını yitirmeden geçen zamanda son sahnede de heyecen doruklara ulaşıyor gerçekten kesinlikle izlenmeli şiddetle tavsiyeden kaçınmıyorum :D,positive
ürünü alalı 1 hafta oldu kurulumu son derece kolay çalışmasıda bir o kadar da sessiz bu fiyata bu ürün kaçmaz,positive
bu fiyata mükemmel bir ürün.,positive
"ürün elime gecti..gayet güzel , kullanışlı fakat eski süpürgeme göre birz büyükce ..emiş gücü gayet iyi ..teşekkürler .",positive
berbatotel tek kelimele rezalat yemekler cok kalitesiz odalar berbat temeizlik yapiliyor otel rus dolu turklere ilgi yok ne yemeklerde ne animosyonlarda ne hayuz basinda kesinlikte aile oteli degil hic tavsiye etmiyorum,negative
telefonu kardeşime aldım çok memnun kaldılar. üstelik ürün tahmin edilen süreden çok daha kısa sürede ulaştı. hemde piyasa fiyatının daha altında bir fiyata aldık. daha önceki alışverişlerimde olduğu gibi bu alışverişimde de bizleri memnun eden hb ya teşekkürler...,positive
"araştırıp aldım, en iyi set bu. her işimi görüyor.",positive
Mause oldukça küçük bir bayan elinde daha uygun gibi. Küçük olduğu için tasarımı ergonomik olmaktan çıkıyor avcunuzun içinde kayboluyor ve çok fazla bilek ağrısı yapıyor. İmleç hareket etme yeterince akışkan değil parasını kesinlikle hak etmiyor. Mouse alacaksınız mouse üreticisi bir firmadan alın. !!!,negative
sayın vekilim 4c liler sizden destek bekliyor yeteri kadar mağdur edildik artık adalet y,positive
"Boş film,zaten genelde kızlar gider buna,onunda sebebi belli.Dünyaca ünlü İMDB sitesine bi bakıyım kaç puan almış diye 22.000 kişi değerlendirmiş aldığı puan 4.5. O bile çok fazla bu filme..",negative
kullanışlı ama biraz fazla uzun tasarlanmış,positive
200 decede bile 1.5 saatde pişirmiyor böregin yüzünü hiç kızrtmıyor hiç kimseye tavsiye etmem,negative
"okurken şiir deryasında yüzer gibiyim. kamuya açık alanlarda okumayın, etrafınızdaki hiç bir olayı görmez ve hiçbir sesi işitmezsiniz. herkesin okuması gereken kitapalrdan bir tanesi la",positive
butterfly abs aletiniz var ise ayda bir almanız gerekli. hızlı gönderi için teşekkürler.,positive
hoş bir film değil..sıkıcı gerçekten..beğenmedim,negative
"Sıkıcıydı.. Espri yönüyle zayıftı, güldüren yerler çok azdı. 2. bölümünde bitmek tükenmek bilmeyen futbol maçı ve hiç bi güldürücü unsur bulunmaması filmi iyice sıkıcı hale getirdi.. Filmdeki emek gözardı edilemez ama şuda bir gerçekki G.O.R.A. nın 10da 1i bile etmez..",negative
cinayetlerdeki anlamsızlıklar başlarda seyirciyi sıksada sonlarda konu anlaşılmaya başlıyor.bolca zamanınız varsa izleyin derim...,negative
"ürünün kalitesi çok iyi. ürünün üzerinde marka adresi i̇srail verilmiş. üretim yeri ise çek cumhuriyeti, üretim tarihi de 2016 aralık üretimi olan geldi bana.",positive
3d yi istedikleri gibi kaliteli yapmayı becerememişler bu yüzden sadece 2d izleyecez .vizyon tarihleri değişti bu arada turkiye de 17 kasım da girecek vizyona.,positive
"çok kötü bir ürün,  gece yatmadan burnumu iyice temizleyip yapıştırıyorum sabaha karşı  yastığa yapışmış buluyorum",negative
Kulaklık aldım kalitesiz geldi.,negative
aldığim ürün idare eder. cokta memnun kaldigimi soyleyemem.,negative
bu güne kadar gördüğüm en iyi f/p telefonu.,positive
filmi izleyen arkadaşlarım ve atilla dorsay filmi yerden yere vurmuş. aynı zamanda izleyenler bazen gülmüş.dahası film tamamen kıyametle alakalı ve film çekimlerinde garip olayların yaşandığı söz konusu.objektiflere yansıdığına göre tanımlanamayan kapkara bir cisim oyuncuları hep rahatsız etmiş.ister inanın ister inanmayın!,negative
Çağan Irmak genellikle yaptığı filmlerde özellikle film sonunda yorumu izleyiciye bırakıyordu. Bu film bana göre en kötü çağan ırmak filmi. Başka bir kentte yaşayan bir ahşının yatak hikayeleri. Hepsi bu.Çocukkende böyleymiş. Sessiz ve içine kapanık bir insan.Filmden anladığımız bu.Başka bir şey yok. Ben beğenmedim.,negative
"satın aldığım süpürgenin içinden çıkan ile aynı kalitede. tavsiye ederim, fiyat olarak daha uygunu bulunamaz.",positive
üst modelini çıkarıyorlar bu sefer de arttırılabilir hafızayı koymuyorlar.anlamak mümkün değil bu insan oğlunu.note 4 aldım hiçte pişman değilim.64 gb mini sd hafıza da takınca kocaman bellek oldu.her yönüyle muhteşem bir cihaz. epey daha güncelliğini korur bu note4..memnunum ve tavsiye de ederim...saygılar...,positive
urun sorunsuz ve kisa surede elime ulasti kullaniyorum onceki sac kurutma makineme gore cok iyi fiyatida oldukca uygun tavsiye ederim,positive
"adamlar yapmiş. haki̇katen çok faydali bi̇r ürün, bu fi̇yata göre çok uygun. kurarken hi̇ç zorlanmadim. tek başima kurdum ve i̇ki̇ haftadir kullaniyorum. herkese tavsi̇ye ederi̇m.",positive
cok sıkıcı bir filmdi..kazandıran ne vardıki? hiç bişey..zeynepin 8 gununden bile sıkıcı...eric bana nın sbt ruhsuz bakışları nın da bunda etkisi var sanırım..,negative
"çok mu çok güzel bu kadar film varken , bu filmi bu kadar güzel yapan ne ben anlamıyorum. yok efendim çaresizlikmiş, baba oğul ilişkisiymiş , nerde kurgu , nerde konu derinliği, yapmayın o kadar güzel bir film değil........",negative
"film için kötü diye yorum yapılsa tamamda gitme demek ne onu anlamıyorum? 'gidin bu filme efendim, her filme gidin hatta.' özellikle bu tarz vadettiğini gerçekleştiren filmler için gitme diyenlere kulak tıkayın.",negative
opel combo 1.3 cdti da kullandım bir etkisi olduğunu düşünmüyorum. yorumlardan sonra almıştım bende.,negative
Otel doğa ve deniz arasında bir cennet gibi. Bu sebeble tatilim için bu sene tekrar tercih ettim. Hem hizmet kalitesi hemde lokasyon olarak tek geçerim.,positive
"jett i aldık, rahat ettik,",positive
"evde rahatlıkla ip atlayabiliyorum ve sayacı üzerinden ne kadar ip atladığımı görebiliyorum. fiyatıda çok uygun, kullanışlı, yazda geldi, tavsiye ederim.",positive
hem sessiz hem iyi yıkıyor . hem  yıkama hem kurutma  mükemmel. calgona elveda diyebilirsiniz  artık.8 k.g  yıkama  5 k.g kurutma var . eco buble ile   köpük yıkama ve   akıllı makine yok yok...,positive
çok berbat bir film....uzak durun,negative
2. sertlik olarak bridgestone turanza yaz lastikleri ile hemende aynı.,negative
igrençotelin animasyonu   üzerinden degerlendırsek ancak  olabılecek kadar kötü  yıldız degıl  yıldız bile fazla denecek kadar kötü bir oteldi bardakların üstünde lekeler vardı yiyecek yemek yok her gün pilav ve patates vardı türizim bakanlıgı bu otele nasıl  yıldız verdi anlayamıyorum bir tek havuzdan yararlanıyorum not : yıldızları sanki denizden toplamışlar,negative
ürünü bütün çekmeceler i̇çi̇n aldim. 2 ay çok rahat etmi̇şti̇m. artik oğluşum nasil açilacağini keşfetti̇. di̇şi̇yle çok güzel ucundan tutup açabi̇li̇yor.. keşke hemen açilan bi̇r ürün olmasaydi..,negative
Tamamen duygusal nedenlerden böyle yüksek bir puan almış.Yoksa 5/10 üzerine çıkmaması gerekir.Oyunculuklar berbat.Berhan Şimşek sadece davudi ses tonuyla konuşunca oyunculuk yaptığını zannediyor herhalde ama bu filmde hepimizin çok eleştirdiği M.Ali Erbil den bile kötü bir performans gösteriyor.Amacınız güzel bir film izlemekten başka birşeyse izleyin,negative
en son çare olarak almanızı tavsiye ederim çünkü giriş kısmının ayarını tutturamamışlar şarjı çıkartırken bayağı bir güç uygulayıp çekmeniz gerekiyor buda telefona veya ipade uzun vadede zarar verir.,negative
kutu icerigi bos sadece anakart 2 sata kablo ve cd cikiyor,negative
ürünü sag bılegımde agrı oldugu için egzersiz yapmak amacı ıle aldım.gayet güzel bu fiyata hiç bir yerde bulamazsınız tavsiye ederim,positive
mükemmel başka dıyılcek soz yok boyududa görunuşde guzl fıyatıfda ucuz ben daha pahalıya aldım esnaf fiyatlarından cok cok ucuz arastırmadan alınacak bır urundur...,positive
fiyat performans aralığında alınabilecek güzel hafif hızlı bir usb bellek... diğer usb bellekler arasında özellik ve marka olarak alınabilecek ürünlerden biri..,positive
berbat bi film :(James Cameron gel kurtar şu filmii :(,negative
hızlı kargo uygun fiyat güvenilir satıcı.,positive
en azından sağlıklı.,positive
bu mazadan alış veriş yapmanızı tercih etmem ürünleri adi ve kalitesiz aldıgım ürün bir haftada bozuldu,negative
iyi guzel begendım bu paraya kalıtelı,positive
Kesinlikle memnun değilim ilk aldığım gun haliyi kaldırıyordu şimdi ise sac tellerini bile süpürmuyor bel hastası etti beni sürekli hazneyi boşaltıp fitreyi temizliyorum ama fayda etmiyor kirintilarin üstünden in defa geçiyorum memnun kalmadım,negative
fiyatına göre iyi ve kaliteli. sorunsuz.,positive
"beklentilerimi karşılayan bir ürün, teslimatı da zamanında yapıldı..",positive
"Beklentimin çok altinda kaldi . Konu çok iyi olsa da iyi bir hikayesi yok . Hava da kalan 1-2 olay da var . Kiefer Sutherland disinda öyle müthis bir durum , bir is yok orta da ... 5/1.5 ...",negative
fiyatı hesaplı piyasaya göre. hepsiburada farkı ile çabuk geldi.,positive
ürün geldi 5+1 halt etmiş düşünmeden alın . kaç saatte şarjı doluyor bilgim yok.,positive
"kaynar sivilari 6 saat sicak tutuyor; disarda calisan birisi olarak en iyi yol arkadasim bu oldu; fiyatina gore cok iyi, tavsiye ederim...",positive
"bu film yaşamımda izlediğim en kötü filmlerden biri idi.. bolca kan ama kurgusuz.. konu çok kötü, saçma.. senaryo berbat.. kısacası izlemeyin, izlettirmeyin.. 1/10",negative
arkadaşlarım philips ütüden çok memnunum dedi.bende yorumları okumadan en üst modelini aldım.fakat yeteri kadar buhar vermiyor ve dinlenmeye koyduğumda kendi kendine buhar veriyor.daha önceki ütümden hiç farkı yok.,negative
cok ıyı bı urun 3u bır arada olmasıda buyuk avantaj ben haftada 2 3 kez kullanıyorum cıldınız tertemız ve parlak gorunuyor  kesınlıkle tavsıye ederım,positive
türk sineması adına bir facia :S :S :S ...ne amaçla neden çekildiğini anlamadım...film qomikte değil...kesinlikle zaman kaybı...özellikle sonu rezaletti...10/1,negative
Tesıs guzel ama cok devasa buyuk oldugu ıcın ısıtma problemı vardı restorantı bıraz küçüktü yemek kalitesini düşük gördüm.,positive
"bence de çok kötüydü. Çocukların neden öyle oldukları belli değil,sahneler amatörce ve sonu desen saçmalık. izlemeye değmez",negative
"sürekli farklı kokular tercih eden birisi olarak sanırım vazgeçemeyeceğim bir kokuyu keşfettim.tabi zevkler farklıdır fakat gerçekten çok iyi bir koku ayrıca kalıcı olmasıda cabası şiddetle tavsiye ediyorum,birde hızlı gönderi için hepsiburadaya teşekkür ediyorum hep böyle kalın.",positive
kosu banimla bi̇rli̇kte si̇pari̇s vermi̇sti̇m kosu bandimdan once geldi̇ terar si̇oari̇s verdi̇yi̇mde cok beklemi̇cem resi̇mde kucuk görünyor ama göründüyu gi̇bi̇ kücük deyi̇l kulanimi cok rahat herkeze tavsi̇ye edi̇yorum,positive
Kafanızın içinde beyin yerine bok var,negative
çok komik ve güzel çocuklugumun filmi,positive
ürün powerbanka tamamen uyum sağlıyor. ne büyük ne küçük geliyor. powerbankin güzel metal bir yüzeyi var ve kolay çizilebilir gibi duruyor. yani malı kıymetli arkadaşların bu ürüne ihtiyacı olacağını düşünüyorum.,positive
hızlı kargo - ürün bahsedilen ürün ile aynı.,positive
Hıc memnun kalmadık kı otelden.,negative
çok çok kötü yarısında çıkmıştım :((,negative
gelir gelmez hemen koridora iki duvar arasına sıkıitırdım vidalamaya falan gerek yok ama isteyen vidalayabilirde ben vidalamadım gerçekten şahane bi şey,positive
hiç beğenmedim çok kötü duruyo üstelik o resimdeki gibi gelmedi daha kötüydü çok ufak,negative
bir baş yapıt . Oyun camiasını kasıp kavuran GTA Vice city senaryosunun yapıldığı film birde keşke buraya yorum yapanların yaşları isimlerinin yanında yazsa :),positive
parfümün kokusu çok güzel çok da dikkat çekiyor fakat kalıcılık konusunda çok zayıf gün içerisinde tazelemek gerekiyor..bu nedenle tavsiye etmeyeceğim bir ürün,negative
bakimsizcok sakin ve kafa dinlemek icin gidilebilecek bir konumda olmasina ragmen maalesef hem denizin bir göl kivaminda olusu otelin bakimsizligi restauranttaki sineklere bir onlem alinamamis olmasi tuvaletlerde copleri klozete atmayin yazisina ragmen cop kutusunun sivi sabunun olmamasi gibi hayati kriterler sebebiyle otele girdigim gun cikis yapmis bulunmaktayim,negative
- tutuşu gayet iyi.,negative
ürün bekar arkadaşlar için tavsiye edilecek bir ürün. malzeme kalitesi orta duzeyde.yedek vida neredeyse hiç konuşmuşlar.kulplarin vidaları kısa geldi takılmadi yeni vida alacağım ürün boyutu ve bölmeli olması gayet güzel ağırlığı 90kg ve saklanma yapmıyor,positive
"Ürünün tek satırlık bir ekranı var istediğiniz şarkıyı o anda seçemiyorsunuz,sırayla gitmeniz gerekiyor. İçinden çıkan kulaklık çok çok kötü. Sesin son seviyesi bana yetersiz geldi. Direkt olarak bilgisayara takılıyor olması bir avantaj, şarjı da uzun süre gidiyor. Fiyatına göre fena değil ama ben beğenmedim.",negative
kesim: günlük tıraş oluyorsanız çok uygun bir makine. yüz hatlarını çok iyi kavrıyor ve hiç bir şekilde çekme ya da yanma yapmıyor. ancak 2-3 günde bir traş oluyorsanız uzun sakalları almakta çok başarılı değil. aynı bölgenin üzerinden bir kaç defa geçmek gerekiyor. ben kuru traş oluyorum ona rağmen günlük kullanımda oldukça başarılı,positive
gereksizlik abidesi.,negative
htc nin böylesi üst sınıf bir modelde iki ayrı ekran paneli kullanması can sıkıcı sırf bu sebepten telefonu almaktan vazgeçtim.sharp ve tianma olarak iki ayrı kalite panelin bulunması ve seçim yapma gibi bir şansınızın olmaması çok kötü keşke böyle bir seçeneğimiz olsaydı.,negative
Bu Film Çok kötü Bu kadar kötü olamazısını beklemiyordum 10 üzerinden&quot; 0 &quot; Tammammmmmm,negative
"Gerçekleri göstermesi felan tamam. ona ok. fakat bir film olarak bakıldığında, filmin konusu bile yok. Hayattaki bazı olayları üzerinden geçilmiş, geri kalanın hepsi o onu vuruyo, öbürü ötekini.. Yani Berbat ötesi bir film. 10/2. Bir puan; sahneler fena çekilmemiş onun için, diğeri ise gerçekleri yansıtmaya çalıştıkları için..",negative
simfer marka evime giren ilk ürün ve (ilk ve son).bildiğin merdiven altı üretim,negative
-karşı telefonu aradığımda'da bağlanması geç oluyor.internetten de araştırdığımda ağırlık bu sorunlar üzerin de toplanıyor.saygılar.,negative
yaa çok büyük umutlarla gittim ilk film beni çok eğlendirmişti ama bu öyle değil gerçekten hayal kırıklığı yaşadım sadece penguenler güzeldi ve onlara güldümm vasattı bencee 10/7 veriyorum ben oda penguenler hatrınaa : D,negative
2.sini aldım küçük olması çok avantajlı anahtarlıga bile asıyorum cok iyi. hemde 16 gb olması bi başka güzel bu kadar küçük ve 16 gb olması şaşırttı beni.,positive
diğer yerlere göre fiyatı gerçekten uygun. kalite olarak gayet iyi. siyah olduğu için ayrıca şık da duruyor. hızlı teslim edildi.,positive
ürünün gövdesi çok kalitesiz bir malzemeden yapılmış.diğer yandan yazılı olan özelliklerini ihtiva etmektedir.bu makineyi görerek almak isteseydim kesinlikle paramı bu makineyi almazdım.,negative
kadroya bak şampiyonlar ligi,positive
nicole kidman oynuyo diye gittigin bi filmdi ama sinemada ilk yarıyı zor ettik kız arkadasımıda aldım cıktım sinemadan ne kadar saçma anlamsız bi film en üzüldügüm nokta nicole kidmana hiç yakışmıyan bi film olmuş yazık...,negative
oyunculuklarda olmasa hiç güzel bi film deil.senaryo yazmayımı unutmuşlar ne yapmışlar hiç bişey yok.müzik zaten yok.Fazla bi beklentiniz olmasın.,negative
gerçekten belirli şekilde temizlik var yağlı her şeyi tertemiz yapmış çok ta güzel kokuyor,positive
ürün 23 saat içinde elime ulaştı .gerçekten gayet güzel.yanında gelen yüzükte oldukça hoş eşim için güzel bir anneler günü hediyesi olacak.,positive
kitap elime ulaştıktan 24 saat içinde bitti. kitap 183 sayfa ve malesef bir çırpıda bitiyor. tek kötü yanı bu. gerçekten çok zevk alarak okudum. herkese tavsiye ederim.,positive
tempo huysuzlanma yemlikli sokturma,negative
4 katlı olsa daha iyi olurdu.kullanışlı.,positive
Nenen ölsün lan sarı gelin,negative
ara kablosu çok kısa 10-12 cm bişey,negative
yeni nesil cam/seramik yüzeyli ocak için aldım. eskiden siyah zemin üzerinde hep beyaz kalıntı oluyordu. bu bezi durulamada kullandığımda hiç bir iz kalmadı.,positive
temizlikçimiz denedi 10 gömleği 30 dk ütülemiş çok memnun kaldı,positive
"kargodan gelen paketler iyi hazırlanmış ve kurulumu basit görünüyor. menteşe yerlerine dikkat etmek lazım, iç kapak dış kapak menteşeleri farklı, doğru koymazsanız iyi kapanmaz.",positive
ürünle yaklaşık iki haftadır çalışıyorum. ev için kullanımı ideal. fiyatı da gayet makul. biraz yüksek olması ve hafif sallanması tedirginlik yaratsa da hareketleri yapma da herhangi bir problem çıkarmıyor. fiyat performans ürünü diyebilirim. kurulumu ise gayet basit. önemli yerler zaten kurulu geliyor. size sadece ayakları ve mekik çekerken ayakları sıkıştırdığımız yerleri takmak kalıyor.,positive
"O büyük oyuncu kadrosuna, görkemli setlerine ve bir Spielberg filmi olmasına rağmen son derece grotesk bir masal. Ne çocuklar ne de yetişkinler için eğlenceli olmayı başaramayan 'Hook', yönetmenin filmografisindeki en zayıf film... (4/10)",negative
etlik marketten sepete ekledım arkadaslar cok ıtınalı ambalaj yapmış yorum bırakmamak ayıp olurdu tesekkurler,positive
"taban kalitesiz, derisi yumuşak ve kalıp şekli çabuk bozuldu, 1 yıldır kullanıyorum, parası kadar ayakkabı, alternatifleri değerlendirin.",negative
acaip hayal kırıklığına uğradım.. çok zorlama bir film olmuş.. film için fazla emek harcanmış belli ama senaryo çok basit geldi.. film boyunca film bitsinde evime gideyim diye yalvardım açıkçası..,negative
bekar ve öğrenci evlerine almak isteyen arkadaşlara tavsiye ederim.hem kullanışlı hem küçük hemde fiyatı yerinde.buzdolabı görevini fazlasıyla yerine getirebilir.hacmi de o kadarda çok küçük değil bence,negative
nasıl çalıştığını denemedim. kutu içeriğinden bahsedeceğim.,positive
aldıktan sonra pişman olmayacağınız bir ürün..bana kendimi çok özel hissettirdi..,positive
Aynı kişi mi bunlar ?,positive
git gelme buraya sakın gelirsen bacağını kırarım,negative
"tabanı  ütü  yapmayı  kolaylaştırıyor , üzerinde baskı  uygulamaya  gerek yok",positive
ısitma plakalari i̇nce esli̇ alaeti̇mi̇z bunun 2 mi̇sli̇ kalinliğinda i̇di̇,negative
o kadar güsel olmasada ii zaman geçirtecek bir film,negative
Hay sizin survivorunuza sokim,negative
ürün hoşuma gitti. ilk kullanımda verdiği destekten dolayı boyunda bir rahatlık verdiğini hissettim. ebat olarak ta gayet yeterli. i̇nşallah bana ve benim gibi sıkıntıları olanlara faydalı olurda şifa buluruz.,positive
"gişe için film yapıldığı hissi fazlasıyla uyandı bende. ilk filmin güzellikleri (örneğin müzikleri)2. cisinde o kadar fazla verlmişki, müzik içinde film izler gibi oldum. açıkçası hoşuma gitmedi bu film, yapay geldi bir çok sahne...",negative
"çocuklar hani ilgi duyar seyrede ya o tipten bir film , ne senaryo var ne konu var, hayretler içinde kaldım . işte insanlara marka isimleri böyle pazarlıyorlar .",negative
"çok gec elime ulaştı ve yapışkanlar cok kötü, yapıştırdıkca düşüp durdu mahvettı duvarı ????",negative
ürünü herkese öneririm..kesinlikle çok güzel bir saç düzleştirici..i̇ndirimdeyse kaçırmadan alın derim..pişman olmazsınız..bu ürünle hem düz hemde dalgalı saçlara sahip olabilirsiniz..,positive
üzerindeki butona bir kez basın otomatik bağlanıyor.,positive
film harikaydı. hele oğluyla istasyonun tuvaletinde kaldıklarında kapının çalnması anı hep gözlerimin önünde o an benim bile gözümden yaş geldi tek kelimeyle 10 numara bi film,positive
"ürünü daha öncede kullandım, birçok markaya göre daha kalıcı koku vermektedir. ürünün yanında gönderdiğiniz hediye içinde teşekkürler h.b.",positive
"ütümü değdirir değdirmez eridi. sıcaklığını azalttım öyle kullanabiliyorum, üzerinde kaymıyor.",negative
"ürün çok kötü, 9 yasindaki oğlumun ısrariyla bir heves aldık ama hiç faydalanamadi. bişey görünmüyor. i̇ade etmek istedik ama faturasini bulamadık.",negative
ürün iyi sayılır fena değil ancak çift taraflı yapıştırma bantları hemen bırakıyor daha kaliteli bant getittirmeniz şart!,negative
çok beğendim. teşekkür ederim.,positive
film o kadar ahım şahım bi film değil idare eder işte ehhh,negative
ses kalitesini başarılı bulmadım.bazen karşıdakini anlayamıyorum.sarjı iyi dayaniyor fakat ses kalitesi de cok onemli.,negative
etherneti yok dreamboxla alakası yok ah keşke dreambox böyle bi şey çıkarsa piyasayı allak bullak eder,negative
geri kalan herşeyi güzel sadece eksi yönlerini yazdım . tavsiye ederim fiyatını hakeden bir cihaz.,positive
bu ağırlıklar bi harika dostum.boyası azcık özensiz azcık da dökülmüş gibi amma bu fiyata 2x5kg müthiş,positive
"kurulumu gayet kolay ve eğlenceli,dış çerçeve tamamen beyaz geldi resimlerde ki gibi değil ortadaki 2 tene sabit kısım kahverengi tonda diğer kısımları beyaz geldi, onun haricinde kullanışlı ve güzel,  tavsiye ederiz.",positive
"dijital kısımda ise alarm, 2 adet ayrı ayrı birbirinden ve analogtan bağımsız saat ayarlayabiliyorsunuz. ayrıca ay ve gün olarak tarih ayarı da var. isterseniz saat başında dıt dıt diye ses bile veriyor :d isterseniz kapatabiliyorsunuz. ışığıda olsaydı çok iyi olurdu.  ayrıca kordonun ucunu biraz kalın yapmışlar, fazla uzun olan yeri halkaya takınca çıkması öyle kolay değil.",positive
malesef televizyon filmi seviyesinde vasat bir film.gülün bittii yerden tanıdığımız ismail güneş bu filminde beni açıkçası hüsrana uğrattı.sinematografik analmda yapılan yorumları tekrarlamıyacağım ama bu film için bir milyon dolarlık bütçeye yazık olmuş.inşallah ismail güneş gelecek projeleriyle hakkındaki bu kötü izlenimleri düzeltir,negative
gerçekten verdiğiniz parayı hak ediyor,positive
sokaktaki köpeklere verdim.yemediler.sokak kedilerine verdim onlarda yemediler. 3 gün önce koyduğum kuru mamalar halan yerinde duruyor.kesinlikle tavsiye etmiyorum.,negative
yaa mehmet aslantuğdan daha iyi birşey beklerdim.çok kötüydü be olmamış hiç.10/1,negative
"bu parfümü senelerdir kullanırım.. kaliteli, kişilikli bir kokusu var. kalıcılığı da mükemmel. asıl burdaki fiyatı süper, kokunun müptelaları ve adayları kaçırmasın derim. teşekkürler hepsiburda.com :)",positive
